Position,Rating,Review Title,Role,Pros,Cons
11,5,Great,Junior development tester,Good benefits and Great people,Pay could be alot better
12,3,Respectful culture,Anonymous employee,Respectful culture in general and young team,Poor salary and benefits for employees
13,5,Working at ubisoft,Level designer,awesome and amazing place i think,its improving and i think its fine
14,1,Leadership is still as toxic and misogynistic as ever- nothing done to improve ongoing toxicity,Production assistant,"You get free fast food dinner when forced to work late and aren't allowed to go home to your family or take your vacation. You can thank the COD egomaniac (a perverse, sexual predator who talks and eats more than he delivers). Exec team (local and when visiting from Paris HQ) frequent sex workers and vast amounts of alcohol consumed at work and tacky cliche work events. Ongoing racism and discrimination toward Singapore team members. No accountability, toxic to the core. Fake PR about improving work culture and inclusivity.","Big legal cover ups to stop any real change or improvement. Finally launching an out of date, mediocre game. Reality is Ubisoft uses Singapore as a tax haven."
15,1,Working in ubisoft singapore,It support analyst,Good environment and healthy culture,Bad management and low pay
16,2,Talent and culture being squandered,Mid management,"Nice folks on the dev floor. The actual experts, often hidden are seriously skilled. They really go at the diversity and inclusion. Devs work hard to meet some crazy expectations.","Micromanagement of every level especially from HQ Non-expert mavericks exist - who will disregard real expertise, these are often production and HQ self declare experts in all fields from anything like tech , design, art and making AGILE changes but are actually going in circles - which are obvious. Top layer clearly oblivious to on the ground realties. Too many directors and directors of directors lost touch on game dev processes. Lots of fuss on minor subjective details that make a game Costly to realize the egos of these higher ups. Poor accountability for mistakes made Your opinion and decisions don't matter since there will be someone above who will randomly undermine it New age moral policing that will stifle a innovative culture Salaries can't keep up with inflation"
17,3,Learn and get out,Junior gameplay programmer,Solid workflow Good for learning the standard of SDLC,"Bad upper management Bad compensation package - no bonus, low pay raises, bad healthcare package"
18,2,Learn exactly what not to do,Junior gameplay programmer,Mature CI/CD processes Working in one of the many teams that contribute to a project Learning to work with people from different disciplines,"Stubborn directors that don't listen to developer feedback Conflicting instructions and opinions from different studios, affecting project direction and progress Competent mid/senior level programmers compensating for the incompetent ones Promotion by years of service, rarely by merit, can be affected based on whether your manager likes you personally No bonuses/CVB"
19,4,Great place to start your career,Technical artist,Awesome culture and passion for the work,Compensation is not very competitive
20,5,Great overall,Junior level artist,It is a great place with great people and ok benefits. Good culture and AAA projects.,"No thirteen-month bonus, the increment might be slow."
21,2,+/-,Anonymous employee,People are nice Free games,Salary is quite poor and OT is a must so get hit twice.
22,4,Good people to work with,Sre/devops engineer,A lot of great people to work with Big place generally professional,"Upper management can be difficult to work with, with certain decisions getting delayed or ignored. Frustrating back and forth on work decision at times."
23,3,Decent culture not that attractive remunerations,User experience researcher,Good ppl Good food Fun,Poor remuneration Slow progression Not good bonus
24,4,decent place to work,3d animator,good people good benefits/work-life balance good culture,very low pay increments lack of manpower for projects
25,5,Senior Concept Artist,Senior concept artist,Great work culture and work location,low revenues compared to other companies
26,3,"Uninspiring, mediocre but comfortable",Senior technical designer,"- Stable company - International company, with a lot of experienced staff - Great place to learn, if you are open to it","- Low salary - Projects are bland and uninspiring, always follow the same kind of direction - Political nightmare. Information is hidden/not visible to the managing director of the studio. Little trust in core leadership from the devs - Professional advice / opinions from experts often ignored in favor for someone's 'gut feeling' - HR is the worst I've ever seen in any company - A lot of overtime for the developers, often caused by something stupid which management was informed about MONTHS ago"
27,4,Good to work at and passionate colleagues,- company benefits are pretty good - talented people to work with,- long periods of crunch - certain toxic people are hard to work with,
28,5,Work life,User researcher,They really respect work life balance and take care of your welfare,Can’t think of any for now
29,4,Good,Senior programmer,"Good atmosphere, people help each other",Random orders from the apper management
30,4,Good company for its time,Sr ta manager,"Worklife Balance and Good colleague to work with. Strong employee engagement, such as wellness gifts during Covid period Passionate and talented employee",Poor leadership management and lack of direction in its game IP production
31,4,good place to work,3d animator,works on AAA games. good benefits packages.,working on different projects may yield different experiences. different bonuses.
32,4,Fun place to work.,Senior technical artist,AAA studio. Good work. Interesting challenges. Lots of opportunities. Fun place to work,"Lately, projects are stale. Need more projects to come in."
33,2,Great benefits but not,Anonymous employee,Great benefits and good work-life balance.,"Pay is below market rate. The business outlook is not great, and the company clearly is heading in a direction to please their investors rather than taking care of their employees"
34,4,Great employer,Gameplay programmer,Very pro people. Everyone is very friendly.,More opportunities for different projects.
35,4,alright,Concept artist,"good people, good collaboration. work environment alright.",very low pay increments lack of manpower for projects
36,1,No direction,Associate producer,Some really talented people working in the studio,Management has no clue what they are doing
37,4,its a okay place,Quality assurance,minimal micromanaging welfares are still good at the moment,nothing to say at the moment
38,3,Great game production company,Human resources director,Very pro people. Everyone is very friendly.,Great training ground for young and inspiring entering gaming world but hunting ground for competitor
39,3,Well,Senior technical artist,Great people and awesome project!,It's a good company to work here.
40,3,"Great team, too many cooks",Senior game designer,"Everyone can have a say, provided you have the right tone and angle of approach. Great people.",Production processes slow down development. HQ often has too much sway. Yardsticks move.
41,4,Standard Job,Full stack developer,Have good work-life balance most of the time,Pay is not enough competitive
42,4,Good work balance,3d artist,Great work life balance Great art culture,Salary compensation is not competitive compared to other studios
43,5,Good company to work for,Programmer manager,"Great people, good processes, and engaging work","Poor benefits, poor career progression and salary"
44,3,Negative Work circumstances,Anonymous employee,Autonomy over your work. Minimal micromanaging,Game project has been continuously delayed and making team lose confidence and faith. Senior colleague and manager on the role are not empathetic to the circumstances of your work situation
45,5,Good place to work,Level designer,Welfare and benefits is great,Progression may be a little slow
46,5,,Senior hr manager,A Caring company with good benefits,Long hours for game development
47,2,Nice working environment but not somewhere i recommend to seniors or higher due to below market salaries and slow growth,Senior programmer,Casual working environment Flexible hours Autonomous daily experience.,"Very low pay incrementVery slow career growth. (2 years at junior, 4 at intermediate, 5-6 at senior

Bloated dev teams that arent open to hearing ideas for a game's direction. Most major decisions are dictated by the HQ studio. You end up feeling like a cog in a machine and eventually lose interest in the product.

Creativity takes a backseat to ways to get more and more money out of the player after the sale of the product. In the past youd have a creative director but now you have a committee of finiancial and engagement members that have tunnel vision on specific metrics and it makes the product much worse as a whole.

modern ubisoft games introduce a lot of addictive gambling elements aimed at kids.my morals dont align with that

Very Low salaries.

Glass ceiling in the company if youre not a french speaker or national.

A lot of french conversations on the floor even though it's supposed to be an English speaking company. Groups seem to form based on this and it factors in during performance reviews if youre very close to the french group

Project bonsues are tiny. On a game released in Ubisoft' most profitable year ever, selling over 10 million units. The bonus was less than a month's (already slow) salary for a 4 year projects lack of manpower for projects"
48,5,Fun colleagues,Anonymous employee,Fun colleagues guaranteed whoever you meet,"Low compensation, not the most interesting game projects you work on"
49,5,,Level artist,Amazing work life balance and fun working environment,Some tend to take things too lightly due to fun working environment.
50,4,Good place to work,3d artist,Good work culture and work life balance,The pay is on the lower side
51,4,Ops team,Anonymous employee,Culture is great and fun,Management for the ops team can be better Too much is focused on the production team Rewards as an ops team is not as rewarding compared to production
52,2,horrible indecisive director that dont know what they want,Software engineer,a good glimpse into tech for AAA dev good work life balance,horrible pay and bleeding talent
53,4,Great place to learn,Programmer,Many mentors to learn from Work on massive titles Very in-depth work with game engine,Low to average salary compared to normal tech firms Progression can be challenging after many years
54,4,Short review,Designer,The culture for the company is great and fun.,The pay for the company is not that high.
55,4,Great Environment for those who want to make a difference!,Anonymous employee,"Open environment - Really helps on communication. Just take the initiative, anyone from senior management to junior employees are always willing to talk. Great Business Mind - Talk to more people who manages projects, department(s) and studio. You will pick up more knowledge about the company and business direction. The future of the organisation is bright in this competitive industry. There are many senior guys whose first job start in this company. That explains! Knowledge sharing - A lot of time, effort and money is spent in development of knowledge and training of the employees. There are many workshops created developed especially in the last few years. Values a lot on sharing expert advice (internally and externally). Not many games developers are doing to this extend! Local Talent Development - The Singapore studio emphasis the importance of developing top local talent. That's a very good area to develop and strongly encouraged!","Works with multiple studios collaboration. A lot of functions works with various studios and offices. Can be challenging when it comes to time zone collaboration. Which MNC has no challenge on this? However, it is also good that every studio is learning from one another yet growing the expertise knowledge at the same time."
56,4,Okay place to work,Technical artist,Fun work environment. Good place to work,Salary can be better. Still higher than the competition i guess
57,4,Pretty Decent,Junior quest designer,Plenty of opportunities to broaden learning experiences,Long work hours at times
58,4,Great WLB,Publishing,Great WLB and leadership understanding,Could take more calculated risks
59,2,Incompetent Leadership begets incompetence.,Developer,Job security Good workplace culture Good work life balance Safe country,Leadership and Production management are generally incompetent. More focused on impressing upwards than they are motivating or empowering a team. Anyone with any experience in identifying problems is often stigmatized as negative and not working well with the team which is just leadership speak for shut up and sit down. Leadership is top down order driven less you incur the wrath of management and your career is stalled because they don’t like you. Promotion process is more a popularity contest on who has the best rumor about you. Milestone objectives are a joke to be spun into successes based on vague goalposts. Work gets redone and redone because leadership rarely has any idea on what work actually gets done because they are more interested in PowerPoint presentations than actual technical or production competency. Is it any wonder the turnover for senior developers is so high. Only a handful of devs in the studio who has been here longer than 5 years. The rest can find more fulfilling work elsewhere.
60,1,"Good people, bad management, uncertain future",Developer,"- Nice people. Most ppl have good attitude to work with. - Biggest game company in Singapore. - Good work and life balance, flexible hours. - High quality standard, always industry benchmark AAA titles. - Project has strong marketing and brand IP.","- Future is uncertain, project constantly change direction. - Management is not transparent, one hand claims everything is awesome, another hand is downsize the team. - Political, whoever talks the most or loudest gets to be heard. If you speak French you will got bonus influence. - Low pay, downgrade rank title, no career path. If you are French pay is much higher. - High turnover (both local and expat colleagues have high turn over rate). - The satellite studio Philippines and Chengdu studios making the Singapore most costly one. Production work has slowly shifted and leaving the employees with uncertain future in Singapore."
61,5,one of the strongest studios at one of gaming's best companies,Producer,"Ubisoft is the best of the bunch for big publishers in the video game industry as an employee. I appreciate the decentralized decision making (teams have a lot of autonomy), the values which extend all the way to the top of the company at the c-level (trust creative people, and they will do great things for you), and the support. The Singapore studio has exited its ""startup"" phase and is becoming a more mature studio - but hasn't lost its ambitions. It's still a place where I feel a lot of energy and enthusiasm when I walk through the doors every morning.","Every company has niggling issues - and Ubisoft is no exception. One of the big trade-offs is that game companies tend to be ""led"" by one group or another - design, tech, marketing, or business. At Ubisoft, its business and design. Which means that technology, for example, is viewed as a ""solution to specific problems"" rather than something that enables new businesses. If that's what you're looking for (hardcore R&D), Ubisoft is no Google."
62,1,Choose your friends wisely,Anonymous employee,"Ubisoft Singapore has, in the past, collaborated with other studios to create AAA games like the Assassin's Creed franchise. Great learning experience working on AAA titles.","The politics are incredible. Your skills account for 10% of your performance during the yearly review. The remaining 90% is dependent on who you are friendly with and who hates you. If a manager in the studio (not necessarily your manager) does not like you, he will find all sorts of excuses to have you fired. He will try to convince other managers that you are difficult to work with and if a majority of them speak out against you, you're out. On the flip side, if you're best buddies with your manager, he can find reasons to rally the other managers to his side and give you a promotion. Some have been promoted this way."
63,5,Life at Ubisoft,Anonymous employee,"Contrary to other Glassdoor articles, this company actually tries very hard to promote local talent - there are several examples of senior local talents in the company. Overall a very fair and vibrant company to work for. - Healthy mix of asian and western nationalities - Very casual working environment - Comparable salaries compared to other local game dev studios - Strong emphasis on team health during bi-annual lead reviews - Care is taken during scoping process to manage team workload - AAA game development on top IPs - The studio here is given a good amount of freedom to work on their own ideas","- Crunchtimes, but has gotten better in recent years - The bar is set high in this company; everyone is expected to perform - Bonuses are based on project sales, sometimes there are no bonuses - Annual leave is minimal - Salaries are not competitive for junior and intermediate positions - Benefits and healthcare are not amazing compared with local MNCs"
64,2,Great Talents killed by top management's politics & bureaucracy (Singapore),Anonymous employee,+ Nice work & life balance + Promoted easily based on senior relations + Nice people. Most ppl have good work attitude + Biggest game company in Singapore or Asia + Nice studio of friends (Junior to mid levels),"Unclear direction on game strategy which often led to conflicting priorities Senior Management had trouble acknowledging ownership or committing to new directions Very top-down or laissez-faire style by leaders which prevented honest conversation about problems Lack of coordination across functions due poor organizational designs Inadequate leadership time & attention given to talent issues (usually ignored or dismissed) Employees feared of telling the senior team about honest inquiries or opinions. (based on former employees being reprimanded or wrongfully dismissed) Observed long-term, loyal employees being overlooked by alliance relationships with Seniors (French) Very unclear career development Low salary High turn-over (3-5 employees left a month. Unannounced, terminated or resigned)"
65,3,Ubisoft Anonymous,Anonymous employee,"Very European place to work. Days are flexible, family comes first, and most every project is encouraged as a bottom up initiative, rather than a top-down mandate. This gives you lots of room to propose good ideas, and develop them within the company, regardless of your role or stature.","Because of that lack of top level guidance, you spend a lot of time negotiating and playing politics with other teams in the organization - building alliances and support to budget and execute projects that are cross functional, which can be great for someone who has the political clout to drive that, but if you're just interested in getting things done and not playing politics, it can be stifling."
66,2,A beginner friendly studio,Anonymous employee,Excellent learning opportunities Work is demanding in terms of time commitment but less so in brain power Great for portfolio,
67,2,"Good QoL culture, but lots of politics",Anonymous employee,"Good quality of life, competitive salaries, relative job stability, and they allow for a reasonable work life balance. The location is also an amazing place to live as well.","Very thick management layer, and most of them were never in the trenches so they tend to not know when an issue needs to be reacted to and when it's a minor thing. A great many bad decisions get made out of lack of technical knowledge and understand as they do not seem to trust their tech leads to properly advise them. The management layer holds all of the keys, and people on the team do not feel as though they are being heard."
68,1,New Army General in the Singapore Studio,Anonymous employee,Good starter for resume sake,"The new MD is an authority figure and wants only followers. Defy his orders/wishes means career suicide. Those who follows are pets (usually the incompetent) and that's happening from very senior people down to leads. Wants to brand himself as a ""hero"" but never had that capability to manage a company. It's only orders, orders, order. HR is genuinely a great team but lacks much empowerment. This company is losing a lot of local talent in the past years. So called AAA project is still unknown to release. Wants to a leading tech company but lacks comps, culture and senior people who can innovate. Weird that there are a lot of directors getting fat salaries actually don't get fired. Studio with BIG PROBLEMS!"
69,4,"Great company, cares about game(r)s",Anonymous employee,"Really cares about game quality High quality IP's (Far Cry, Assassin's Creed etc...) Not afraid to take calculated risks and invest in creativity A lot of international / relocation options Yves Guillemot a great CEO and a quality human being","Work life balance is still not where it should be at the end of projects. The top tier of the company is a small clique of friends/relatives from 30 years ago, some of them have not scaled alongside the company and don't quite have the professional ethics. As such, they tend to let things un-managed instead of making bold moves. This sometimes leads to situations getting worse overtime, and impacting many quality employees."
70,2,Forget about long term growth - Too much politics among the ranks,Anonymous employee,"The Singapore studio prides itself with a strong track record of successful games, notably as an associate studio contributing major features to the Assassin's Creed brand. Its early entrepreneurial spirit even led it to pioneer and champion the company's first major Online product Ghost Recon Phantoms. Developers here are extremely hardworking and passionate about their work, which can be exemplified by the titles that the studio has shipped.","The leadership is extremely cliquish and exclusive club. In order to succeed in your career, you can only either pull strings to be part of the club, learn to speak the same language or else you can only depend on your close allies to hopefully maintain your status quo. Leadership can also be extremely disorganized, with managers failing to perform regular 1:1s, set clear objectives or coaching direct reports into succeeding well. There's no transparency in communications. Requests often reaches the floor with hardly any impact analysis on tech or team's velocity, and ideas are changed flippantly and frequently. Culture has also shifted in recent years from that which was very family-like and people-centric, to that which is bottom-line and resource-centric. HR is mostly talk and no substantial action. Loyal and hardworking long-term staff (5 years or more) that decided to leave or got retrenched are often let go without compassion or renegotiations. Your fate is fixed by the club."
71,3,Time Bomb,Artist,"Stable, but if some competitor set up here, all good employee will flee.","Politics, French / Canadian have ++privilege and chances, subjectivity on promotion, paid based on nationality, HR is non-existant, 1 of 10 tech guy will be promoted and do all the work while 9 of 10 management will promoted because they all friends."
72,2,"Fun place, but swim carefully",Anonymous employee,"- Fun and vibrant environment - Experienced staff, you would be able to learn a lot from working with them - Pleasant and friendly colleagues who are willing to teach you - Accessible office, it's only a short 5mins walk from the Train station","- Office politics. Think Gun N Roses ""Welcome to the Jungle"" type of office politics. - No seriously, the song ""Welcome to the Jungle"" Describes the political situation in the office right down to a T."
73,3,Fun. Friendly coworkers. Multinational.,Animator,Friendly atmosphere. Promotes outside hobbies and activities for employees. Good amount of exposure to delve into specialties outside the employee's current field,Looks at the length of time spent in the company to consider promotion for its employees rather than the actual talents of its employees. Doesn't try much to retain employees. Will let them quit and then simply rehire new people.
74,3,"Great Place, Great Culture, Great Pool of Talent BUUUUUUT....",Animator,"- Fun people, great high profile projects, talented people. - Closely knitted bunch within the team - Free Beer and finger food on Fridays - Free overtime dinner compensations - Table tennis table","- Incredibly thick of office politics. Many cliques in the company - If you don't speak French, your pay scale is different. - Below average pay scale and yearly increments - Unclear career progression"
75,3,You can kill your time here,Anonymous employee,"Easy job, really. Not demanding due to follow-the-sun shifts and the corporate politics (that the team never gets any interesting work). You get to leave office at 5pm sharp.","A job too easy that gradually I burnt out. The other side, the bad side of leaving office at 5pm is that you come to the office at 9am. Even worse, it becomes 8am when daylight savings turns on in Europe and America, (though you leave office at 4pm)."
76,1,it could be better,Anonymous employee,"+ Nice people + Nice working environment and office location + Colleagues are very talented, you will learn a lot! + Good name in your resume",- Way much bureaucracy & politics at every level - Management is not transparent - Unclear direction usually obliterate the work - Slow to ship games (do not expect to see your name in there so easily) - Very high turnover - Low salary
77,3,Culture at Ubisoft,Anonymous employee,Ubisoft is a stable company to stay and work for. There are a lot of big titles that you can work at. and there are potential for growth. Its a culturally diverse company.,"Its getting more political especially if you want to move up. There are a lot of politics happening around. There are special treatment given to French people, its really biased."
78,2,Mediocre compensation,Junior technical artist,"Good training opportunities, maybe mentorship if you're lucky.","Salary disparity between junior and intermediate positions is huge. Company prioritizes experience by amount of games shipped above all else, disregarding actual skill level. Most software used is proprietary. People leaving every week, leading to experienced juniors teaching newer people with higher pay grades."
79,1,Stable but uninteresting,Technical director designer,- Job security - Lots of experienced peopel to learn from,"- Stuck in their ways - Low salary, only really given opportunities when threatening to leave - Projects are designed top-down, most people don't have any influence on the project and are just told what to do - Leads do not represent their team upwards, you're left fending for yourself - Relies a lot on people doing OT on a regular basis, but will not reward them - Very slow at decisionmaking"
80,1,Subtle racism and not-so-subtle misogyny,Senior product manager,None that I can think of right now.,"Worked at the Ubisoft Singapore office. It's all happy and fun times on the surface level, but when you stop and take a look around you, you'll notice that this place has been enveloped by a miasma of racism and misogyny. They pride themselves in having a multi-cultural crew. This is true, having employed people from a wide variety of countries. But this is just that - a statistic. Only one out of the ten or so top dogs and decision makers is actually local or from Singapore. Everyone else is a white, male French. There have been instances where the same bros were accused of harassing a junior employee. Said person was then relegated to another position, and was even considered to be promoted, just at another office in another country. This is just one of many incredibly degrading decisions made in this company swept under the rug and guised under the pretense of ""we are a family"" and ""we are inclusive"". Inclusivity and Familial bonds only exist for Frenchmen in this company. Skull & Bones, the game the studio has been working on has been a literal shipwreck for the past 8-10 years. Despite what the PR is saying to the public, it has been a game plagued (it still is) with management failures, indecisions, talent bleeding out and poached, and low team morale. I sincerely hope you think many, many times before joining this company, especially this studio. I have no ill will towards any of my former colleagues, they are the most talented people I've met, but its unfair that they are forced to remain in this sinking hole due to circumstance."
81,5,Fantastic Environment for Creatives!,Anonymous employee,"Great studio culture, energy & positivity So many talented people you can learn from Largest & most well-known game development studio in Singapore Ideas are welcome and appreciated Great work-life balance, flexible hours Opportunities to work on AAA projects that are significant in the industry Many opportunities for learning as long as you're keen! People always remember to have fun Awesome studio parties! Relatively flat hierarchy, friendly managers & bosses","More parties! Also, more allowance for recreation & skill development would be perfect, especially for creatives."
82,1,Massive turnover rate signals need for introspection,Anonymous employee,"Over the last three years, Ubisoft Singapore raised the bar in Singapore AAA game development. It produced Ghost Recon Online (now Ghost Recon Phantoms), one of the first wildly popular and financially profitable AAA games produced almost solely in Singapore. This proved that the local studio had the ""guns"" to make it big. It had talent. And it had nurtured even more talent through the grueling process of developing GRP. But please read on below.","Over the past year though a disturbing trend has been observed as more and more of that very same talent has begun to leave the studio in droves. Meanwhile ""positive"" glassdoor reviews that look suspiciously like they were written by the company's own HR department continue to appear. Perhaps it is time for some introspection Ubisoft Singapore. Ask yourself; how many of the GRP project managers, producers and game devs still remain in the studio? These were guys that worked 16 hour days. Persevered through 3 years of mad crunch. For little to no reward or profit sharing - and they still delivered. They became human capital investments that actually matured. They became the new talent base for future projecst. The studio's GRP-hardened veterans. They went through hell for their project and they didn't leave. Why are they leaving now? Do you think the trend can be easily dismissed, or is this part of a deeper cultural problem? What changed in the short year between the success of GRP till now?"
83,5,Producer,Anonymous employee,"Great projects focused on creativity People company, career growth is definitely possible International opportunities","Jobs are quite specific and the Tech is complex (ex: Several game engines, C++, online...). The game industry is demanding and competitive. It is not for everyone."
84,3,Strong history and good culture that is falling apart,Anonymous employee,amazing team mates and caring managers,"resistance to change low salary intimidation, fear"
85,3,Not bad,Programmer,Interesting projects Collaborations Lots of passionate people,"Sometimes they are too process oriented. To get good performance review you need to join in a lot of meetings, try talk a lot of people, basically the art of looking busy and active. Result doesn't really matter because result is team effort. Not a great salary."
86,5,Ubisoft Singapore,Anonymous employee,"- Great atmosphere to try things and meet nice people; - A lot very talented people from different parts of the world; - It is the only studio in Singapore that had significant successes in the past years (serveral Assassin's Creed games, TMNT, Ghost Recon Online). They have done in Singapore what no company was able to do before. People can work there and have a worldwide recognition. - Very much people focused;","- Still a young studio, has grown fast. Need to consolidate a few layers."
87,3,A good company to make triple A games with but get ready to be undervalued and underpaid,Level designer,The bond between colleagues and your respective teams is great and strong. The production pipeline is solid and clear.,Employees are often undervalued and underpaid. The management is bad at employee retention.
88,3,"Has very strong technical people, yet not appreciating them",Programmer,"- Fun to work, good culture - You have to work with talented technical people",- Feels underpaid (this may depend on where you came from) - Huge & dark politics cloud - Decisions and final calls are made by non-technical people (producers)
89,4,Recommended for good work life balance and team mates,Anonymous employee,"Good work life balance Great culture, great people, fun team Manageable workload Caring environment, good benefits","Good work life balance Great culture, great people, fun team Manageable workload Caring environment, good benefits"
90,2,To be avoided,Anonymous employee,Pretty good work life balance if your manager is great.,Poor top management which is not facing the reality and is not supported by a HR department which does not understand how to keep people. Overall people on the floor are great and talented but poor management practises and people ruin everything.
91,1,Good place for a career in politics,Anonymous employee,Best place for people looking to become a politician. Politics at every level.,"Not suitable for people who want to work on actual games. Mismanagement of game & people, therefore multiple delays time and time again. Game lacks direction. Employees & honest opinions are not valued. Not transparent with communication. Culture is very toxic overall, only yes men can survive."
92,3,mixed feelings,Engineer,1)Brilliant minds at work 2) You feel satisfied in producing great work,1) Late hours during project 2) Management remains mainly French - locals tend to get bypassed in management/leadership roles unless you get into their clique.
93,4,Trying to change for the better,Senior gameplay programmer,"- In recent times, there has been an effort to address the concerns brought up in allegations in the media - There has been more effort to reach out and engage with employees to see what can be done better.",- Salary ranges may not be as competitive with other studios delivering AAA content.
94,3,QA Tester,Qa tester,Talented group of designers and artists. Great experience working with them. Good experience working with the Leads. Able to learn a lot from them,Slow career progression. Office politics can be annoying. Salary is lower as compared to other companies. Some producers have double standards when it comes to hiring and promotions.
95,2,"Good, bad, and very ugly",Programmer,"Exciting, challenging projects. Good opportunity for junior to learn gamedev tech.","Producer centric, communication overhead. Managers know how to play the stick-carrot game very well. You will find it exciting at the beginning till you know the game."
96,4,Great Place to Work!,Anonymous employee,Company takes care of those that do well. The organization really encourages and aids in career progression and growth.,Can sometimes be frustrating when dealing with communication with other studios if they happen to be a mainly French speaking. It would be advantageous if you're French speaking.
97,1,Poor management at the top,3d artist,- Strong player in the market and IP,- Low pay - No career path - Too dependent on current IPs - Strong turnover (the colleagues I started with have all but resigned) - Lots of uncertainty in the future of the studio - Some of the work are going to Philippines and Chengdu studios making the Singapore one a costly one - The company has no identity
98,3,"Great learning, very creative individuals, bad pay, mild racism.",Producer,Very creative place People focused on making great games Lots of freedom to creative individuals People centric,"Poor paymasters Singapore studios pay based on passport, not talent French ceiling to growth within the company"
99,2,A Loooooot politics,Anonymous employee,"Good titles if you are reallllly interested in game industry, and some awesome young people to work with. That's it.","Fruit only once per week, low salary !! Horrible management !! A lot of politics, they don't promote good workers, they promote good ""game players"", are you good at playing ""games""? If not, don't come."
100,5,Great place to work,Level artist,They take care of their employees and offer a very flexible schedule for a nice work-life blance,If you don't like big companies and you want to have a much bigger impact on a project this might not be the studio for you.
101,4,Studio is trying to be better and the results are showing,Software engineer,- Great benefits - Steadily better work culture,- upper management on game projects are disillusioned
102,5,Great company to work for!,Talent acquisition manager,-Work with many team of super passionate people -Multi-cultural work environment -Strong culture of fun & entertainment -Lots of perks & benefits,"-Long production cycles in game development -Work from home because of Covid (going back to office soon) -Can't hire all best talents for the studio, also partially due to Covid"
103,3,-,Anonymous employee,Great work/life balance and studio life before WFH period of time. Fun colleagues. Great start for a fresh graduate.,Compensation is not the most competitive in the local industry. Office space is very lacking and not as expected from a triple AAA developer in the game industry.
104,3,Great colleagues,Project manager,Great and passionate colleagues. Open to suggestions from peers,High hierarchy structure. Looks to have bias to be french speaking in order to climb up the ladder.
105,3,Project Coordinator,Anonymous employee,Good learning experience Get to know people who are passionate with their jobs,Quite a handful of inter-politics and micro-managed to a certain extent. Tenancy to promote their own people and ratio between management to the chaps working on the ground can be unjustified.
106,4,Good place to work at,Anonymous employee,- Vibrant and open working environment - Friendly colleagues,- Career development - Strong French influence
107,3,OK but...,Level designer,"Great team and very friendly people in the office, everyone gets along easily with most of the people there due to the openness of our studio.","Just like any other companies out there, what's on the surface is not what it seems."
108,5,Artist at Ubisoft,3d artist,- Amazing company culture - Good management depending on project - Flexible working hours,- Work can get mundane and repetitive - Overly safe in decision making
109,5,Experience,Junior level artist,"Good benefit and bonuses, great place to work, able to push yourself",Can have a higher salary compensation due to stressful environment will be great
110,4,Good for starting in the industry,Project manager,"- Good work culture and environment, people are friendly","- pay is low, talent keep leaving because they don't believe in the project"
111,4,Nice place to start your game dev career,Anonymous employee,You can learn a lot from industry veterans.,There’s a high chance your project gets canceled and your years of hard work goes in vain.
112,3,Good company with bad leadership,Anonymous employee,"A big company with good benefits, flexi bonus and good peers.",Management unable to decide on vision and lead a big project to fruition.
113,5,Cool place to work,Software developer intern,Cool and fun place to work,"Cool place to work - too cool and distracting, need to be very disciplined"
114,2,Tedious,Qa tester,Work with experienced people and passionate developers,"Management only focused on bottom line, not employees or work culture"
115,3,stable job but tough to go up,Computer programers,great benefits unlikely to move up,some projects are in development hell
