Position,Rating,Review Title,Role,Pros,Cons
114,5,Talented people in a welcoming environment,Staff program manager,"Great people to work with, open and collaborative.",Opportunities for advancement limited depending on which group you are in.
115,4,Salary for senior engineer,Senior software engineer,Not great but ok dianle,Not great but okish not suggesting
116,4,Amazing workplace,Qa lead,"Facilities, great team, flexible working",Not flexible working for all positions
117,4,Good place to work with great people.,Producer,"- Insight and opportunity to work on some of the industry's biggest titles - Passionate, experienced and cool co-workers - Regular updates from senior leadership on development and business strategy - Fantastic recruitment team - Fun perks like new release codes, and special events - Strong DEI culture","- Org is very large, can be tricky to find the information you need occasionally e.g. HR topics, but they're working to consolidate and centralize everything"
118,3,Decent place to work,Senior account manager,"Some knowledgeable people, relatively relaxed environment","Leadership was lacking, they didn't know how to cultivate and retain good people"
119,2,"Great first job, little growth afterwards",Project manager,"-Great for getting your foot in the door of the games industry -Gain a lot of experience across projects and possibly departments, valuable intial learning opportunity. Helps you jump to other companies after a few years -You get your name in the credits of major titles and has some additional perks like free PS Plus and games. -Many seniors are very approachable and love to answer questions. It's a cool experience to gain so much insight","-they are looking for scale, Not individual talent or skill. your growth matters little to them and most are treated as expendable. most people are kept as contractors for years longer than they should be. if you have a problem, then leave and they will quickly replace you -The Pay is on The low end of The spectrum -HR and Upper management is a joke when It comes to complaints about poor management or harassment. The people who have stayed The longest are basically on tenure and are untouchable."
120,5,Love it,Data product manager,"Great environment, great people, great culture","none so far, been a blast"
121,5,Great place to work,Compliance tester,"-Annual performance review, includes salary adjustment and bonus per performance -Newly fitted office -Friendly staff and a casual atmosphere","-development Can be difficult, and request improvements/change Can be slow due to external department oversight."
122,5,Its great,Shop attendant,I would like get used to this company,Thank you for your services
123,4,WLB but at a cost,Program manager,Good work life balance and supportive managers (In my opinion),It is not a place to grow fast. if you are looking for stability then it is a good place. Salary is not FAANG but is fair
124,4,Very good,Social media manager,"nice place to work, it was a nice experience","low payment, they didn't pay me enough"
125,5,The most wonderful company to work for,Anonymous employee,"An incredible place to work / wonderful team dynamic, fulfilling rewarding work and great facilities",I don't have any cons
126,5,Good place,Data science manager,"Great people, work-life balance, benefits, and offices, stable company (don't go for crazy hiring phases just to lay-off people after like other big companies)",people work across three continents - sometimes its challenging
127,3,"Friendly studio, difficult growth",Quality assurance,"Good holidays, very experienced managers, great learning resources, diversity inclusive","Poor HR, career growth, Inconsistent Salary"
128,4,Good play to work,Network engineer,"For engineers who are enthusiastic about engineering, it can be a real good place to work.",Pay is significantly lower in Japan compared to US and UK employees.
129,5,Smart Talented Employees,Manager,"Playstation hires talented individuals. Working with top talent from Product, IT, Engineering, and Security teams who hire talented individuals that are collaborative to get job done.",Talented slow ro be recognized and promoted.
130,3,Cinematic writer,Narrative designer,"Very creative, good team, tight deadlines, but rewarding","Amount of hours, stressful deadlines."
131,5,Best company I worked with,Servicenow developer,The team spirit and collaboration is incredible,24h is not enough for the amount of task we had back then.
132,5,Idk,Anonymous employee,"Great place to work, very collaborative and good people there","No cons working here, it's great"
133,2,Data Analyst role dressed up as Data Science,Data scientist,"- Work life balance is good and flexible working hours - Extra Christmas and summer company shutdowns (adds a few free days to your total holiday) - Good pension scheme (double contributions up to 10%) - Colleagues are generally nice (with a couple of notable exceptions at the manager level) - If you want a job where you won't learn or do much but want to have an easy 9-5 and get paid at the end of the month, PlayStation would be a good fit","- Work itself is more like a simple Data Analyst role but with the name Data Scientist, with little actual Data Science involved - Few learning and personal growth opportunities available - Slow moving and little innovation (due to company size, but also the kind of people who stay aren't ambitious due to the environment - the more driven employees leave) - A couple of the managers in the UK team are very inexperienced (and quite frankly, bad at their job) due to a couple of quick promotions to manager position and it shows - we recently had an anonymous department-wide survey (with lots of questions, but generally focussed on if you are happy in your job), and the Data Science team had the worst results in the department in which the team sits (of around ~10 other teams). I do see this as a manager-level issue (not director level - the director of the team is OK) - the managers seem to be out for their own gain and not for the gain of their direct reports"
134,1,Miserable Leadership / Terrible Work Life Balance,Manager,"A decent place to work if you're into games, but that's about it.","PlayStation (Sony) is a miserable place to work, and here is a non-exhaustive laundry list of why: 1.) Compensation: First off, compensation is weak and far from competitive with the market. My offer letter included no signing bonus, and there are no stock options for the vast majority of employees, even at the manager level. 2.) Work/Life Balance: Since the huge ""globalization"" effort, separation of work and life became impossible. I would wake up for 6 AM meetings and then take 10 PM meetings in the evening. Leadership did little to support a healthy work/life balance and would respond to people outside of working hours, expecting swift resolutions at odd hours of the day. When I was a Manager at Sony, someone on the Marketing Team took their own life. It took that tragedy for leadership to respond with resources and workshops for mental health. 3.) Out of Touch: Everyone director-level and up is a straight, white male that is insanely out of touch with the world at large and clueless to how other tech orgs of this size operate. As boomers, they feign a sense of care for DE&I initiatives, spew corporate poo poo words, and think that's enough to cover their butts. 4.) Cult-Like: If you're not into the industry, you are immediately ostracized like an outsider. Be ready to fake a passion for gaming or forever be an outsider to the cult. 5.) Org Hierarchy: The structure at Sony is extremely hierarchical, and employees are not empowered to make decisions. Instead, be prepared to be stifled for trying to innovate or implement change."
135,4,Solid,Senior technical writer,"Friendly people, caring culture, decent benefits",Pay isn't what it could be elsewhere
136,5,One of the Best companies to work for,Swqa tester - contract,Free cans Free Tea & Coffee Free food Free Breakfast and Lunch Free First-Party games (after probation) Free fruits,No Canteen on weekend work so no free breakfast or lunch. No refills for cans and fruits so when they go they go. However cans last the whole weekend but fruits you have to hunt for.
137,4,Great place to work,Anonymous employee,"Amazing games, great people, inspiring campaigns",Global re-structure needs to be refined
138,4,Great place to work,Cro specialist,Culture is awesome! People you work with are great.,Pay may not be up to par with competitors
139,4,Good,Manager,Time and you can work any time,team was good and enjoyed it
140,3,Great co-workers but fickle management,Pc planner & insights manager,Very friendly business environment with colleagues you genuinely get along with. Fun business with great perks Product is great,"Poor career development/mentoring/advancement Very bureaucratic with decisions taking months to finalize Herd mentality with products Very risk averse Lots of ""moving the deck"" chairs with reshuffles and reorg's Way too much love for PowerPoint presentations"
141,5,Okay 5,Graphic designer,Fun entertainment hey people that are good,Get there on time bad management
142,4,Great place to work but terrible pay,Game test analyst,"You are testing video games, it is a really fun job. Also, free snacks and drinks!","If it wasn't for the horrible pay, I'd wanna stay there forever."
143,5,Good overall experience,Senior software engineer,"Great team, a lot of perks and long vacation.",Complicated system to work with
144,5,Grear,Officials manager,Brilliant stuff from the team,Times where hard work pays
145,4,Relaxed,Senior software engineer,"Very laid back, bare-minimum environment. Weekly / fortnightly office meet-ups.",Career advancement - tenure is viewed more valuable than results
146,5,Good company and working culture,Senior concept artist,"good working culture, friendly environment, studio was open for advices and welcome suggestion.",studio got shut down (but we had all been taken good care of.)
147,5,"Friendly, Relax, Work life balance",Analyst,"Friendly, Relax, Work life balance, free game console and games","slow, bureaucratic, less influence, little expose to leadership"
148,3,Great,Anonymous employee,A great experience to work for sony,little to no work life balance
149,4,Great place to work,Technical project manager,- Diverse - Calm and Not stressful - company gym is clean and tidy - Option to travel to different sites - Excellent company socials,- Not as fast paced / slow development
150,4,Great place to work,Sr. analyst,A truly collaborative environment with good working conditions.,"As with many companies, you need tenure to get attention for projects and to build connections."
151,1,Don't get old,Staff hardware engineer,Was a great place to work for 10 years,Once you've get close to 60 they start looking for ways to get rode of you.
152,5,Love working at Playstation,Senior manager,Culture is intentionally very supportive Strive for a good work/life balance,"during releases, life can get very stressful"
153,5,Great place to work,Certops,Looked after. Free meals and drinks.,No much in way of progression.
154,5,Its the people,Anonymous employee,the people who work here are mostly very cool.,there are some politics and land grabbing
155,5,Great Company,Administrative assistant,Amazing learning experiences provided here,I wish I was able to work remote
156,3,"Great company to work for, as it provides a good understanding of the gaming market, but the salary is too low.",Anonymous employee,Great colleagues and an opportunity to gain a deep understanding of the gaming market.,Compensation is relatively low compare that with other gaming industry.
157,4,Job Promotions,Program manager,People are very nice and friendly. They have a great working culture.,Don't expect to get promotions so quickly even if you deserve it!
158,4,Good work/life balance,Finance manager,"Good work life balance, friendly people, and exciting games/projects","Feels less connected post-covid, with less communication and fewer events"
159,5,WLB is perfect,Software development engineer in test (sdet) ii,great company to work for,maybe a better salary for employees?
160,4,Decent Company To Work For!,Financial analyst,The culture is really conducive to working and playing hard! Most people are awesome to work with.,Too many layers of management slows down decision making.
161,4,Liked it,Business operations manager,"Discounts on games, mature operations and processes",Sometimes too singular minded at high levels of management
162,5,Good,Developer,Friendly nice environment and great location,Can be stressful sometimes but good overall
163,5,Great place to work,Senior software engineer (audio),"Great products, great work environment, and good benefits/perks, healthy amount of PTO. Good opportunities for growth and career development. People tend to stick around.","Because people tend to stick around so long, can lead to stagnation."
164,4,Overall good place to work,Software engineer ii,"1) WLB is off the charts great, IF you happen to find the right team. 2) Benefits were really nice! Free PS membership each year. Discounts on Sony products. 3) Probably depends on the team, but technology is progressive for the most part, and can be a good challenge. 4) Managers were emotionally very supportive.","1) The pay is lower than other companies 2) They don't allow fully remote, but do hybrid, depending on the bigger group you're in 3) Promotion is difficult, and some managers promote by the length of time you spend with that title. I saw other people around me get promoted without fulfilling the cultural requirements 4) HR is very slow to respond. 5) Some teams are definitely stretched thin, and could hire more so that deadlines can be met for dependencies."
165,4,Good Work Culture,Staff engineer,Good Work Culture and Nice Management,No stocks given to the employees
166,3,Great,Qa manager,Free drinks and food sometimes,Crappy office enviro but friendly people
167,5,Great place to start,Intern,It was a good place to learn about the industry,Not too many. It was a starting place and I'm an intern and I'm thankful for the opportunity
168,3,Great people - low pay,Senior global account manager,"Great people, colleagues that I can call family. A new perspective around inclusivity and diversity is coming together.",PlayStation has many great people however the pay gap is there where for many years I was paid less than male colleagues and mainly they don't acknowledge loyalty as you will always be paid a lot less than someone coming externally with at times a lot less years of experiences in the industry.
169,1,Worst place to work,Anonymous employee,Free games and average benefits.,"Toxic environment with no career growth. Compensation way below market. Work hours all around the clock with teams in US, Japan & UK which leads to no work life balance. Things move very slow and projects take forever to launch. Don't recommend for anyone looking to learn or grow. Leadership & HR is a joke. No actions taken by them for complaints against poor management or harassment."
170,1,Culture issues,Digital marketing,Nice office and benefits are good.,Unpleasant to have to say it but there's a culture of burying problems including racism
171,3,"Fun, but big, slow-moving company","Global platform strategy, customer lifecycle","Culture, Products, Amenities, Innovative, Category Leader","Slow, Big, Fragmented, Communication, Unfocused"
172,5,Great Place to Work,Commercial planning manager,"Growth opportunities, great bonuses, great employee support.",Lower than average salaries for tech companies.
173,4,Interesting work. Good package,Senior devops engineer,"Good engineers, good compensation, interesting work",Lack of strategic leadership and technology roadmap
174,5,Great place to work!,Operations,"Great team, benefits, and overall compensation package",You tend to work long hours and work/life balance is hard
175,5,Sony PlayStation Representative,Sales representative,This company had the best benefit package even as a part time employee I was taken care off.,Room for growth from a Sales Rep was limited
176,4,an entry point,Game tester,Great work environment Meet interesting people Great experiences,Treated as a number hard to move up quickly
177,3,gamer,Gamer,good games but too expensive,too expensive for peru people
178,1,Under resourced,Anonymous employee,"Free food and coffee, cheap staff bar","Siloed work, unrealistic planning and deadlines, company seems to only care about senior management and not the development or staff. Globalisation structure means lack of work like separation and boundaries."
179,4,Great place to work,Application security intern,"Good Culture, Great and talented team",There aren't any cons for the organization
180,3,good but needs more organisation,Partnerships manager,"Great creativity, great studio culture",Redundancies made for a sour end
181,5,Bes,Play boy service,Yes we'll help me from company,Yes batter solution by company
182,4,Good workspace with areas to improve on,Specialist,"Great benefits provided on-site and as part of the overall package, lots of ressources made available to all employees. Good compensation.","Lackluster and confusing onboarding process, lack of cohesion between departments"
183,4,Good place to work,Commercial manager,"Good people, good benefits, cool office",Company politics and decisions by mass committee makes work frustrating
184,4,"Going in the right direction, but under resourced",In product development,"Leadership is going in the right direction. Generally people who work there are neighborly even when they are being political. The company is working on improving on several fronts including inclusion and they are getting better. Personally, I like the work I do.","Internal support teams are under resourced. In order to hit your deadlines or achieve quality work, you really need to hustle for weeks and months on end. Management is aware. Middle management could be stronger at managing projects and dependencies."
185,5,Marketing and Promotions,Digital marketing specialist,Great people. Really enjoyed the team I worked with.,Limited promotion opportunities. Very limited promotion options.
186,5,Happy,Anonymous employee,Loved it especially when you,Pizzas and cheese and cheese pizza
187,5,Best Place to work,Ux researcher,Amazing teammates and learning opportunities - set up for life,it is not fully remote
188,4,Salary,Software engineer,Nice environment to be overall it's great,Usually hectic as you get to work alot
189,5,Fun place to work,Associate manager,"Engaging, flexible and fun with opportunities to develop",not all resources are available to do your job.
